nama,review,bintang
Yudidh,Universitas de gan kondite baik,5
May Riski W,"Tempatnya bersih, asri, dan nyaman",4
Ilham tiar,bagus lokasinya,4
Ambar Suroso,Suasananya nyaman,1
Andika Rizki P,kampus tercinta,1
Kholidiyah Masykuroh,"Bagus, rapi, bersih",5
Maman Surahman,Kuliah ya di IT Telkom Purwokerto,5
Sri Hananto Hananto,Sekolah yang aman dan nyaman,1
irfan muhammad ghani,jangan ragu untuk kuliah di sini :D,1
ACHMAD FADILLA,Kampus paling enak,1
Listrik LISTRIK PURWOKERTO,Suasana kampus yg familiar.,1
Nur Ghaniaviyanto Ramadhan,Tempat mengajar yang nyaman,4
Mbah Diman,Jemput ...plus wisata kuliner,4
bypas,"Kampus, SMA, SMP",5
Lusiana Haryanti,Ruang kelasnya nyaman.,5
ahmad ali sakti,Institut yang bagus dari yayasan telkom,5
Galih Pambudi,Sidang senat terbuka,5
Abdul Hamim Tohari,Mantap banget,5
Dicky Sulayman,KampusKu wkwk,5
alfisyah prisianda,Cukup baik,5
ARIF RAHMAN HILMI,bagus,5
Riaz Noor Fadly,zaman teknologi.... ☆☆☆,4
Juara Satu,Setuju,4
Muhammad Zaim Amin,Buruk.,5
Saldi Dermawan,Ittp mantap,5
yurinanto primandanu,Mantab.....,5
Shanti Almaahir,Kampus Khusus Teknologi,5
Karsiwan Dono,Strategis,4
Yusuf S,Kampusku,4
Auliya Burhanuddin,Kampus top,5
RECA rec,"Ada tiga macam sekolah, yaitu SMP, SMK yang berkualitas dan Institut Teknologi Telkom. kenyamanan untuk belajar. fasilitas terbaik seperti lapangan olah raga, foodcourt, masjid dan mini market.",5
Bernhard K. Glück,"There are three kinds of scool , junior high school , vocational high school with good quality and telkom institute of technology . comfort to study . best facility such us field to do sport , foodcourt , mosque and mini market.",5
Nia Annisa Ferani T,"Institut Teknologi Telkom Purwokerto adalah salah satu Universitas Pendidikan & Penelitian yang berlokasi dan dikelola terbaik di Jawa Tengah. Studi, Penelitian dan juga Olahraga seperti Boulder dan banyak lagi dapat dilakukan di kampus.",5
Ferdian Kusuma,"The Telkom Institute of Technology Purwokerto is one of the b best situated and managed Education & Research Universities in Central Java. Study, Research and also Sports like Boulder and more is possible on the campus.",4
Sandhi Nugroho,Semoga beruntung,4
Azzam,Ittp jaya,5
Zapa 98989,Masa depan lebih baik,5
Ilham Perdana (Ilham Perdana),Future better,5
imam syaiful,PTM dulu,5
Aditya P,PTM first,5
Eka Wahyudi,Kampus yang bagus dengan staf yang ramah,5
Parno Suparno,Great campus with a lovely staff,5
Kang Lutfi,Tempat yang bagus untuk belajar tentang teknologi informasi dan Desain,5
Dara Basuki,Great place to study about information technology and Design,5
wardah hanifa,Kampus Telematika yang Bagus. ayo bergabung dengan kami,5
Najmilhana Sukroeni,Good Telematics Campus. come on join us,5
Feni Resti Anti,“PPLK 2015”,5
wahyu pamungkas,"""PPLK 2015""",5
Alif Muhammad,"#ProsekKerjaPastiSatu-satunya lembaga di Jawa Tengah#ProsekKerjaPasti

Satu-satunya lembaga di Jawa TengahLengkapnya",5
Taat Novan Nugroho,#ProsekKerjaPastiThe only institute in Central Java,5
mberkah mobil,Tempat yang bagus untuk masa depanmu,5
Gunawan Wibisono,Good place for your future,5
Ade Niki Alfin,"kampus anakku, bagus...",5
Eko Fajar Cahyadi,"my son campus, goood...",5
Nur Hikmah,Datang saja dan lihat apa yang ditawarkan sekolah ini.,5
Faizal Henry Ronnan Asnafiant,Just come and see what this school offers.,5
Dwi Agus Priyanto,NAB 👍,5
Muhammad Abdi,NTAB👍,4
ME Rahayu,Hidupku...kampusku,4
Denzbaguse Nugroho,My life...my campus,5
BNR Id,sekolahku Favorit,5
Arnest Hasnasalsanya,my school Favourite,5
Alfina Putri,Universitas yang bagus,5
ani andriyani,Good university,5
Fahrezi Yudha Febriardivo,Sabun ppp,5
Endang Rela Meilawati,Seeppp,5
Muhammad Dzikri,tempat yang bagus,5
Iman Susatyo,great place,5
aldi supardi,Sekolah yang bagus,5
nunung wae,Good school,5
Miranda Septalia,Universitas yang dinamis,5
Yurika Is Rakhmawati,Vibrant university,4
Nurkhabib,Bagus,4
Rifky Gifari,Good,5
Nila YatulhiKmah,Menuju Universitas Telkom,5
Kadim Kadim,Toward Telkom University,5
Ananda Pangestu,Luar biasa,5
Haikal Fadhilah,Awesome,5
Indra Maulana Marbun,Kampus digital🌟,5
theena_ oky,Digital campus🌟,5
MOTIK MAULIDA FASHA,,5
Arul Walker,,5
Alif Rizki,,5
Naufalyn Putri,,5
Why Ryz?,,5
Noval Fajar Fitriyanto,,5
marsella dwi julianti,,5
Rizky Satrya,,5
Irma Nuraini,,5
Evan pajar Firmansyah,,5
ASTI WIDIYANINGSIH NABILA NAJWA SOFIA,,5
Dimas Fanny,,5
Shearer Juanito,,5
yudiana suganda,,4
Cxf Zahra,,4
Akari Azizah가차,,5
Farhat Huda,,5
Afif Romadhon,,5
VIENIX,,5
Asep Tofik,,3
Arista Apriani Girsang,,3
Dwi Astuti,,4
Nur Rizki Adi,,4
nur fauziah susanti,,5
Akhmad Fauzi,,5
Pps Reco,,5
M Syaviq Mughni Alghifari,,5
Always,,5
Lexsy Andreas,,5
Pram asti,,5
septian Indahw,,5
Hersa Dwi Ikhsanti,,4
Musyaffa Ahmad R,,4
yusfiwawan sepriyadi,,5
Ririn Fitri Ningrum,,5
Indra Kurniawan Abdurrahman,,5
03.Alexandro Damar,,5
Afiq Prasetyo,,5
Elang Rangga,,5
Arif Rahman Hilmi,,1
zaidan syarif,,1
HYPER OF DESAIN,,5
agus susanto,,5
Eko Prasetyo,,5
dondong art,,5
Tegoeh tege,,4
Bintang Safna,,4
Azwar Riza,,5
Rahayu Siti,,5
Muttaqin 28,,5
Arnanda Satria Wibawa,,5
Anggitya Yhusuf Fikrandi,,5
irawan rudiyanto,,5
Nur Afifah Zen,,5
Ingwie Rizky Pradhana,,5
bachrul restu,,5
Sulistiyo Heri,,5
Aba Sulis,,5
Faizah Izah,,5
wiyono sarman,,5
Lely NM,,5
Luthfi Yahya Wicaksono,,4
arda sianipar,,4
Eugene Bahar,,4
Lucky Wicaksono,,4
Aorinka Anendya Chazanah,,5
mizani akmal,,5
Kafid Hidayat,,5
Muhammad Ramadhan,,5
Yanuar Firdaus,,4
Rizki Yandira,,4
Januar surya,,5
Raf Han,,5
Fatkhurrohman Purnomo,,5
BANG HARFA,,5
khosirun -,,5
Rumah Syafaat Channel,,5
satya helfi agustianto,,4
Tirta Sanjaya,,4
Ichanita Pasaribu,,4
binta azkiya,,4
Muhammad Rivan,,5
Hesti Wulan Sari,,5
Muhammad Fauzan Yasykur,,5
Muhammad Cahya,,5
Alfani Akbar,,5
Novy Jhons,,5
Adi Wardoyo,,5
Bambang Siswoyo,,5
Sri Utami,,5
Muhammad Reza Yuriandhan,,5
Erlan Candra Haryanto,,5
ane f,,5
Nurse Call Official,,5
Areza (Arez),,5
GM Entertainment,,5
Dasril Aldo,,5
Muhammad Raul Ramadhan,,5
Maria Susana,,5
Dimas Teguh Ramadhani,,5
Akhmad safruddin,,5
Thowaf Fuad Hasan,,5
Bayu Lukman Yusuf,,5
Archild J,,5
Arif Sumaryanto,,5
Agung Wicaksono,,5
Agung Prabowo,,5
Adinda Hashina,,5
Ridho Juan,,5
Sarah Astiti,,5
Wildan Malul Azam,,5
Muhammad Anwar Zainuri,,1
Mariana Carvalho,,1
Condro Kartiko,,5
yani sy,,5
St nurfadillah Syam,,5
Alwi Maulana,,5
Ati E,,5
Digger Wes,,5
Tri_haryanto 28,,5
Denita Eptiana,,5
Khairil Arman,,5
luhur pamukti,,5
Alfin Hikmaturokhman,,5
Cinta Maysa,,5
Dyah ayu puspita Sari,,5
Tinah Subarto,,5
Ensong Agnes Pontoh,,5
SETIE RUHDI KOARA,,5
Almira Faiz,,1
,,1
,,4
,,5
,,2
Muhammad Yunus Dani Saputra,,5
Ahmad Shofan Shofa,"Fasilitas di ITTP menurut saya sudah sangat menunjang dalam aspek perkuliahan ditambah dengan adanya 14 program studi, kalian bisa bebas memilih bidang apa saja sesuai keinginan kalian",5
Rodo Saragih,,5
Arsalan nisha (Arsalan Nisa),"Institut Teknologi Telkom Purwokerto (ITTP) merupakan perguruan tinggi swasta milik Telkom Group yang dikelola melalui Yayasan Pendidikan Telkom (YPT) dengan tagline utama yakni Digital Campus for Digital Future. 13 program studi yang ada, siap mengantarkan generasi muda Indonesia ke gerbang masa depan digital.",5
Nayrn Ri,,5
Han Han,"Kampus hebat bisa melahirkan alumni yg berkualitas sesuai dengan kemampuan dibidangnya masing""",5
richard Ibrahim,,5
Galih D Pangestu,"Baru pernah ke sini, buat ikut acara edufest Hompimpaa.  Tempatnya nyaman,  parkiran rapi dan teratur.",5
Sekala Bumi,,5
Kitab Gaming,"Suasana kampus yang nyaman dan masih asri. Intitut teknologi ini milik yayasan telkom yang terdapat jurusan S1 Teknik Telekomunikasi, D3 Teknik Telekomunikasi, S1 Teknik informatika, S1 Sistem Informasi, S1 Desain Komusikasi Visual, S1 Teknik Elektro, S1 Software Enginer. Disini juga terdapat beasiswa yang tidak neko"".",5
Erni Primandanu,,5
