nama,review,bintang
khusnul,akreditasi lumayan bagus,5
Brina Miftahurrohmah,Kampusnya Orang Gresik,5
Mauve Gladious,Bagus banget,5
Lukman Hakim_ Kargo,,5
Suprianto SE,kampus favorit di gresik,4
Fiqi Zuhrufa,,4
dewi rismala,Kampus berbasis korporasi.,5
fadhilah handayani,Universitas internasional semen indonesia,4
Sya Dev,Pengen kuliah disini😍😍😍😍,4
Ayu Ningsih,,4
Elisa Putri Wachdaniyah,Mudahan masuk :-),5
Farah Sefiefa,mantap,5
Faishal Hilmi,internasional,5
Annisah Dwi,Saya sungguh terkesan dengan pemandangan indah dan nyaman di kampus ini.,5
Nur Roufik,I truly impressed with the beautiful and comfortable scene of this campus.,5
Alief Fayrus,"Kampus unik, khususnya Kampus B yang bertransformasi dari bekas Pabrik Semen Batubara. Dapatkan banyak pengalaman langsung dari para ahli di PT Semen Indonesia baik melalui perkuliahan maupun pembelajaran kerja",5
Muhammad Nasrulloh,"Uniqe campus, especially its Campus B which transformed from ex Cement Coal Mill. Gain many experiences directly from experts from PT Semen Indonesia through both lectures and work learning",5
Alifia Yuanika Rahmawati,👍,5
Rudi Susanto oficial,Masih di Universitas baru tetapi banyak fasilitas,5
Fairianto Firmanza,Still in new University but a lot facilities,5
HerdiTio Ibrahim,Universitas swasta ternama Homy,5
Lailatul Mufidah,Homy reputable private university,5
Notaris Yuli Endah Wardantik (Notaris Danti),Bagus sekali,5
Putri Sea Paramita,Niceeee,5
Akhmad Nur Fahrozi,Merangsang,4
Dewi Purwanti,Stimsi,4
Mariana Carvalho,Kampus yang bagus,5
Chandra Wira Utami,Good campus,5
edi harnoto,Tekkim dabe 💕👌,5
khaf,Tekkim dabest💕👌,5
Affandi Asyhari,Dengan orang-orang baik,5
Stefanus Eko Wiratno,With good people,5
Achmad Arief al Hinani,Bagus,5
putri dwi oktaviana,good,5
Titah Hayubunga Dwita,Menciptakan yang Luar Biasa,5
Muhammad Akbar,Crafting the Excellent,5
