nama,review,bintang
arifin fikah,"Itu cabang dari telkom university di bandung.  Mereka memiliki program yang mencakup mata pelajaran yang berkaitan dengan industri perangkat lunak dan perangkat keras.  Resepsionis pusat informasi kampus Surabaya harus lebih interaktif dengan orang tua siswa yang datang jauh untuk menanyakan program dan fasilitas di Universitas.  Mereka mengabaikan pelanggan dan mengerjakan laptop mereka.  Pemimpin program juga harus mengetahui informasi terkini tentang kurikulum, program, dan karier siswa mereka sendiri.  Beruntung ada tenaga pengajar yang rajin membantu kami memberikan informasi mengenai program dan fasilitas.It's the branch of the telkom university in Bandung. They have programs covering subjects related to the software and hardware industry. The receptionist at the information center in Surabaya campus has to be more interactive with the parents when they come from long way to enquire about the programs and facilities at the University. They ignore the customer and work on their laptops. Program leaders must also be up to date about their own curriculum, programs, and student careers. Luckily there was a teaching staff who could diligently help us give information about the programs and facilities.Itu cabang dari telkom university di bandung.  Mereka memiliki program yang mencakup mata pelajaran yang berkaitan dengan industri perangkat lunak dan perangkat keras.  Resepsionis pusat informasi kampus Surabaya harus lebih interaktif …Lengkapnya",4
Ivan Nisyar,,4
Wak Guz,Kampus alternatif biar ga jauh-jauh ke Bandung.,5
Ethan Menachem S.,,5
Difa Sagita N.P,Kampus swasta terbaik No. 1 di Indonesia,5
Ricky Strikie gmail,,5
Taufik Hayade,"Ka, kalo lulusan di Tel U surabaya gimana ya?Byk ktrima dimana saja? Saya alumni STT telkom yg bandung...",5
Nurul H,,5
M agus panji saka,Pencetak generasi siap kerja.. recommended 👍👍👍,5
muhammad dzulfikar,,5
Achmad Fadilah,"Pengalaman belajar disini sangat menyenangkan, pendidikan yang bagus, kampus yang bagus. Sukses terus Telkom University Surabaya 🙌",5
Neng chipa,,5
Lamser J Simanullang,"Ijin bapak/ibu admin di STT Telkom, mohon kiranya uang yang sudah masuk ke STT Telkom untuk segera dibayarkan kembali, karena anak saya masuk di PTN, terima kasih 👍👍, sekali lagi terima kasih bapak/ibu uang sudah kami terima, semoga STT Telkom terus berkembang dan menjadi Universitas Telkom Surabaya",5
Wafiqoh Dwi Oktaviana Putri,,5
Ahmad Askhabul Kahfi,"Saya lihat kampus ini keren & bersih. Jurusan Teknologi disini juga bagus2 dan milenial banget. Setau saya, ada jurusan Bisnis Digital, Teknologi Informasi, Sistem Informasi, Informatika, Sains Data,Telekomunikasi, dll.. Kampus ini juga menjalin Mitra Kerja Sama dengan perusahaan2. Saya pun percaya kampus ini bakal berkembang pesat. Semangat ITTelkom Surabaya & terus ditingkatkan lagi yaaSaya lihat kampus ini keren & bersih. Jurusan Teknologi disini juga bagus2 dan milenial banget. Setau saya, ada jurusan Bisnis Digital, Teknologi Informasi, Sistem Informasi, Informatika, Sains Data, …Lengkapnya",5
Nur Ghaniaviyanto Ramadhan,,5
Beni Giri,Numpang lewat,5
M Iqbal Hafidz,,5
DS_Fathur Rohman,Tempat yang bagus rindang banyak pohonnya masjidnya jgbesar,5
Dodi Darwin,,5
agustian hermansyah,"lokasi d depan kampus unesa ketintang, jalur padat dan ramai, dekat fasilitas umum. karena hanya lihat dr luar jd hanya ini yg bs sy share.",4
Ari Joe,,4
bambang budiyono,"sekarang menjadi Telkom University Surabaya, lhoo!!🤩✨",5
La Safril,,5
Allansyah Brawinatha,Lembaga pendidikan private (swasta) terbaik yang hadir di Surabaya,5
WiNATA,,5
Ammat Banu,"Saya sudah 13 thn gak pernah ke divre 5 baru kali ini,tempatnnya banyak perubahan..........",5
anwar abdullah mustafa anwar,,5
Dodiet Lumwartono,Salah satu universitas negeri yang tidak kalah bagus dengan universitas Negeri lainnya,5
Anns,,5
Raissa Rahma,Semua bagus,5
Adya Rahadi,,5
Sarwa Raisa,Kampus kekinian dg Dosen2 muda yg menguasai IT uptodate. Semoga menjadi kampus unggulan seperti kampus dan sekolah yg dibawah Telkom Indonesia.,5
Susyanto Tri Rasmana,,5
Naufal Badri (MasNamri),Tempat mangkal,5
Supra yitno,,5
Dielbieh Nugraha,mntap,5
Reyki Astika,,5
Rizal Darmawisata,campus swasta baru berdiri tapi kualitasnya top banyak ilmu yang di dapat👍❤️,5
Rachmat Djamal,,5
Rahayu Rahayu,"Institut teknologi Telkomsel Memang Luar Biasa, Tempat yang Luas Bersih Indah",5
Harjono Harjono,,5
Gilang Aditya,gedung nya GEDE BANGET.... security mas RIVAI.... ramah.... orang bondowoso.......,4
Supra Yitno,,4
Raju Gultom,Oke 👍🏻,5
agus santoso,,5
Fajar Setiyawan,Jurusan cyber security ada gak ya ?,5
Mst Mjs.Official,,5
masboy mn,Kampusnya mantab,5
Imron Rosidi,,5
Mawanda Almuhayar,"Terus berbenah, terus berkembang, berbuah dan berbarokah untuk bangsa & negara",4
Kevin Licious,,4
ModifieSby Medsos,google maps terimakasih kakak.sangat membantu usaha kami,5
Carlita 69,,5
Oktavia Ayu Permata,Halaman parkirnya sangat luasStaff Securtynya  ramah-ramah,5
Philip Daely,,5
Mang Udin,kampus yg sangat keren memiliki fasilitas yang lengkap,5
Hendra Dirga,,5
