nama,review,bintang
dedi kurnia,Basecampnya Mapala Cakrawala,1
muhammad chamis,Saya alumni thn 2009,1
Mr. 107,Ya begitulah kampusnya,5
Andrian Tjia,Semoga bisa lanjut sekolah disini,5
Moh Udin,Sangat menyenangkan,5
Dolly Arman,Tempat kuliahnya para  calon pegawai PLN,5
Jes Jes,Kampus Swasta dibawah naungan YPK PLN,5
PEMBASMI JAWA,Pasti ganteng kalo kuliah dimari,5
Ibrahim Zahid,Pokoknya kaget dah,5
Nur Fadilah,❤❤,5
kausar,Kampus dengan kelas kerja sama pln,1
Eko Putro,Menyenangkan,1
Zaenurrasid,Mari meraih mimpi d sttpln,5
slamet Supriatin,Karyawan dan dosenya ramah,5
Ita Novita,Oke rekomended,1
Abdul Rosyad,Mencari rezeki...,1
elita yolandara,Sangat bagus,4
CV. Aksara Global Akademia,Sukses selalu,4
Xoou CH,Banyak anak kuliahan,1
Pardi Sinaga,Cukup bagus,1
meika Meika,Lokasi membingungkan,5
Goen 72,Mudah dicari,5
resha A.F,Memulai mimpi di sini,1
asep nurfalah,Rumah kedua,1
Aji pangestu,Pengn skolah di sini 🙏,5
Raisha Bakhtiar,Mantap,5
I Wyn Hadi S,Kampus kotak,5
adi shinjo,Kampus petir,5
Erfinia Nerlanda,Oke,5
Èkal Aufar,kampus kebanggaan😂,5
bonardo sinaga,awal kesuksesan,5
imna musa,Kampus Top,5
Marisa Hardi Ningrum,Bagus,5
Tedi Herwantoko,Bagus,5
Wadinil Nazar,Mantap,5
Frederick Cheung,"Tempat pengisian daya yang bagus untuk evTersedia 1 slot CCS2 25kwhTempat pengisian daya yang bagus untuk ev

Tersedia 1 slot CCS2 25kwhLengkapnya",5
Zakaria Zamrudioko,Good charging spot for evAvailable 1 slot ccs2 25kwh,4
Nanang Sadikin,"Kampus yang bagus.. banyak laboratorium untuk kerja praktek.. dilengkapi dengan pembangkit minihidro, pembangkit diesel, pembangkit uap..",4
Bambang Setyawan,"Nice campus.. many laboratory for practical works.. completed with minihydro plant, diesel plant, steam plant..",5
